Wind Speed,Power
1,3078.7608005179977
2,24630.08640414398
3,83126.54161398594
4,197040.69123315185
5,384845.1000647497
6,665012.3329118876
7,1056014.9545776732
8,1576325.5298652148
9,2244416.6235776204
10,3078760.8005179977
11,4097830.625489455
12,5320098.6632951
13,6764037.478738041
14,8448119.636621386
15,10390817.701748243
16,12610604.238921719
17,15125951.812944923
18,17955332.988620963
19,21117220.330752946
20,24630086.40414398
21,28512403.773597177
22,32782645.00391564
23,37459282.659902476
24,42560789.3063608
